accuracy,stage,task
95.76271176338196,1,1
92.37288236618042,2,1
89.2307698726654,2,2
87.28813529014587,3,1
85.38461327552795,3,2
80.1369845867157,3,3
88.98305296897888,4,1
82.30769038200378,4,2
84.93150472640991,4,3
89.20454382896423,4,4
88.98305296897888,5,1
78.46153974533081,5,2
78.76712083816528,5,3
85.22727489471436,5,4
80.46875,5,5
87.28813529014587,6,1
75.38461685180664,6,2
82.19178318977356,6,3
86.93181872367859,6,4
80.46875,6,5
80.83333373069763,6,6
87.28813529014587,7,1
76.15384459495544,7,2
77.39726305007935,7,3
87.5,7,4
79.6875,7,5
76.66666507720947,7,6
70.43478488922119,7,7
88.13559412956238,8,1
82.30769038200378,8,2
82.19178318977356,8,3
88.63636255264282,8,4
85.9375,8,5
83.33333134651184,8,6
79.1304349899292,8,7
89.47368264198303,8,8
84.74576473236084,9,1
82.30769038200378,9,2
80.82191944122314,9,3
86.36363744735718,9,4
80.46875,9,5
75.83333253860474,9,6
73.9130437374115,9,7
85.71428656578064,9,8
80.59701323509216,9,9
86.44067645072937,10,1
80.7692289352417,10,2
79.45205569267273,10,3
86.36363744735718,10,4
77.34375,10,5
80.0000011920929,10,6
71.30434513092041,10,7
85.71428656578064,10,8
68.65671873092651,10,9
83.33333134651184,10,10
83.89830589294434,11,1
79.23076748847961,11,2
78.08219194412231,11,3
85.22727489471436,11,4
78.125,11,5
77.49999761581421,11,6
72.1739113330841,11,7
82.70676732063293,11,8
67.16417670249939,11,9
73.18840622901917,11,10
76.99999809265137,11,11
83.89830589294434,12,1
80.0000011920929,12,2
78.76712083816528,12,3
82.95454382896423,12,4
80.46875,12,5
79.16666865348816,12,6
72.1739113330841,12,7
85.71428656578064,12,8
66.41790866851807,12,9
73.9130437374115,12,10
75.0,12,11
84.48275923728943,12,12
82.20338821411133,13,1
81.53846263885498,13,2
76.7123281955719,13,3
82.38636255264282,13,4
80.46875,13,5
80.0000011920929,13,6
74.7826099395752,13,7
84.21052694320679,13,8
68.65671873092651,13,9
71.7391312122345,13,10
75.0,13,11
76.7241358757019,13,12
85.82677245140076,13,13
83.89830589294434,14,1
80.7692289352417,14,2
76.02739930152893,14,3
83.52272510528564,14,4
76.5625,14,5
76.66666507720947,14,6
70.43478488922119,14,7
81.95488452911377,14,8
66.41790866851807,14,9
75.36231875419617,14,10
74.00000095367432,14,11
73.2758641242981,14,12
81.10235929489136,14,13
79.54545617103577,14,14
83.89830589294434,15,1
81.53846263885498,15,2
72.60273694992065,15,3
82.38636255264282,15,4
78.125,15,5
73.33333492279053,15,6
69.5652186870575,15,7
82.70676732063293,15,8
67.91045069694519,15,9
66.66666865348816,15,10
72.00000286102295,15,11
73.2758641242981,15,12
77.95275449752808,15,13
65.15151262283325,15,14
66.37930870056152,15,15
83.05084705352783,16,1
81.53846263885498,16,2
76.7123281955719,16,3
86.36363744735718,16,4
84.375,16,5
83.33333134651184,16,6
79.1304349899292,16,7
86.46616339683533,16,8
74.6268630027771,16,9
77.53623127937317,16,10
82.99999833106995,16,11
80.17241358757019,16,12
83.4645688533783,16,13
78.78788113594055,16,14
76.7241358757019,16,15
84.96240377426147,16,16
82.20338821411133,17,1
83.07692408561707,17,2
70.54794430732727,17,3
87.5,17,4
83.59375,17,5
82.4999988079071,17,6
79.1304349899292,17,7
84.96240377426147,17,8
76.86567306518555,17,9
79.71014380455017,17,10
77.99999713897705,17,11
77.58620977401733,17,12
80.31495809555054,17,13
78.78788113594055,17,14
64.65517282485962,17,15
70.67669034004211,17,16
79.36508059501648,17,17
82.20338821411133,18,1
84.61538553237915,18,2
75.34246444702148,18,3
86.36363744735718,18,4
82.8125,18,5
84.16666388511658,18,6
79.1304349899292,18,7
84.96240377426147,18,8
76.11940503120422,18,9
78.2608687877655,18,10
79.00000214576721,18,11
78.44827771186829,18,12
81.10235929489136,18,13
78.03030014038086,18,14
68.1034505367279,18,15
72.93233275413513,18,16
75.39682388305664,18,17
87.73584961891174,18,18
81.35592937469482,19,1
80.0000011920929,19,2
71.91780805587769,19,3
85.79545617103577,19,4
77.34375,19,5
80.83333373069763,19,6
73.9130437374115,19,7
86.46616339683533,19,8
76.11940503120422,19,9
75.36231875419617,19,10
77.99999713897705,19,11
76.7241358757019,19,12
78.7401556968689,19,13
75.0,19,14
66.37930870056152,19,15
72.93233275413513,19,16
73.8095223903656,19,17
83.96226167678833,19,18
79.81651425361633,19,19
78.81355881690979,20,1
81.53846263885498,20,2
75.34246444702148,20,3
87.5,20,4
78.125,20,5
82.4999988079071,20,6
76.52173638343811,20,7
84.21052694320679,20,8
78.3582091331482,20,9
76.81159377098083,20,10
77.99999713897705,20,11
76.7241358757019,20,12
78.7401556968689,20,13
78.78788113594055,20,14
66.37930870056152,20,15
72.18044996261597,20,16
73.8095223903656,20,17
78.30188870429993,20,18
77.98165082931519,20,19
73.26732873916626,20,20
78.81355881690979,21,1
76.92307829856873,21,2
73.2876718044281,21,3
84.65909361839294,21,4
74.21875,21,5
76.66666507720947,21,6
73.0434775352478,21,7
81.95488452911377,21,8
72.38805890083313,21,9
75.36231875419617,21,10
77.99999713897705,21,11
74.13793206214905,21,12
76.37795209884644,21,13
75.0,21,14
68.96551847457886,21,15
66.16541147232056,21,16
71.42857313156128,21,17
76.41509175300598,21,18
68.80733966827393,21,19
66.33663177490234,21,20
82.63888955116272,21,21
80.5084764957428,22,1
79.23076748847961,22,2
70.54794430732727,22,3
85.22727489471436,22,4
75.78125,22,5
80.0000011920929,22,6
77.3913025856018,22,7
79.69924807548523,22,8
68.65671873092651,22,9
75.36231875419617,22,10
75.99999904632568,22,11
72.41379022598267,22,12
76.37795209884644,22,13
76.51515007019043,22,14
62.068963050842285,22,15
66.91729426383972,22,16
74.60317611694336,22,17
72.64150977134705,22,18
74.31192398071289,22,19
61.38613820075989,22,20
80.55555820465088,22,21
83.33333134651184,22,22
78.81355881690979,23,1
74.61538314819336,23,2
67.80821681022644,23,3
81.25,23,4
67.1875,23,5
77.49999761581421,23,6
76.52173638343811,23,7
81.95488452911377,23,8
65.67164063453674,23,9
73.18840622901917,23,10
72.00000286102295,23,11
66.37930870056152,23,12
71.65354490280151,23,13
75.75757503509521,23,14
66.37930870056152,23,15
62.406015396118164,23,16
63.49206566810608,23,17
63.20754885673523,23,18
66.97247624397278,23,19
67.32673048973083,23,20
76.38888955116272,23,21
61.666667461395264,23,22
77.77777910232544,23,23
78.81355881690979,24,1
80.7692289352417,24,2
76.7123281955719,24,3
83.52272510528564,24,4
77.34375,24,5
80.0000011920929,24,6
73.9130437374115,24,7
86.46616339683533,24,8
76.11940503120422,24,9
77.53623127937317,24,10
75.99999904632568,24,11
73.2758641242981,24,12
78.7401556968689,24,13
76.51515007019043,24,14
68.1034505367279,24,15
68.42105388641357,24,16
74.60317611694336,24,17
66.98113083839417,24,18
76.14678740501404,24,19
62.37623691558838,24,20
81.25,24,21
69.16666626930237,24,22
70.94017267227173,24,23
80.23256063461304,24,24
79.6610176563263,25,1
76.15384459495544,25,2
69.8630154132843,25,3
82.95454382896423,25,4
75.78125,25,5
80.0000011920929,25,6
74.7826099395752,25,7
84.96240377426147,25,8
70.14925479888916,25,9
76.81159377098083,25,10
67.00000166893005,25,11
68.1034505367279,25,12
77.16535329818726,25,13
72.72727489471436,25,14
65.51724076271057,25,15
66.91729426383972,25,16
70.63491940498352,25,17
66.98113083839417,25,18
69.72476840019226,25,19
58.415842056274414,25,20
78.47222089767456,25,21
70.83333134651184,25,22
61.538463830947876,25,23
63.95348906517029,25,24
72.30769395828247,25,25
78.81355881690979,26,1
73.07692170143127,26,2
66.4383590221405,26,3
81.81818127632141,26,4
76.5625,26,5
79.16666865348816,26,6
70.43478488922119,26,7
86.46616339683533,26,8
67.16417670249939,26,9
74.63768124580383,26,10
68.00000071525574,26,11
73.2758641242981,26,12
78.7401556968689,26,13
70.45454382896423,26,14
63.79310488700867,26,15
68.42105388641357,26,16
71.42857313156128,26,17
73.58490824699402,26,18
72.47706651687622,26,19
60.3960394859314,26,20
79.16666865348816,26,21
66.66666865348816,26,22
67.52136945724487,26,23
58.139532804489136,26,24
76.92307829856873,26,25
75.60975551605225,26,26
75.42372941970825,27,1
73.07692170143127,27,2
69.8630154132843,27,3
80.68181872367859,27,4
73.4375,27,5
74.16666746139526,27,6
66.9565200805664,27,7
81.20300769805908,27,8
66.41790866851807,27,9
72.46376872062683,27,10
66.00000262260437,27,11
66.37930870056152,27,12
78.7401556968689,27,13
69.69696879386902,27,14
57.758623361587524,27,15
65.41353464126587,27,16
66.66666865348816,27,17
63.20754885673523,27,18
64.2201840877533,27,19
62.37623691558838,27,20
75.69444179534912,27,21
62.5,27,22
60.68376302719116,27,23
55.81395626068115,27,24
66.15384817123413,27,25
68.29268336296082,27,26
74.33628439903259,27,27
74.57627058029175,28,1
74.61538314819336,28,2
68.49315166473389,28,3
78.40909361839294,28,4
76.5625,28,5
75.0,28,6
68.6956524848938,28,7
80.45112490653992,28,8
67.91045069694519,28,9
76.0869562625885,28,10
62.99999952316284,28,11
68.96551847457886,28,12
74.8031497001648,28,13
72.72727489471436,28,14
64.65517282485962,28,15
66.16541147232056,28,16
71.42857313156128,28,17
72.64150977134705,28,18
66.97247624397278,28,19
66.33663177490234,28,20
81.94444179534912,28,21
64.16666507720947,28,22
64.10256624221802,28,23
63.95348906517029,28,24
66.15384817123413,28,25
67.47967600822449,28,26
71.68141603469849,28,27
88.23529481887817,28,28
72.88135886192322,29,1
69.9999988079071,29,2
68.49315166473389,29,3
77.84090638160706,29,4
66.40625,29,5
70.83333134651184,29,6
65.21739363670349,29,7
76.69172883033752,29,8
70.14925479888916,29,9
69.5652186870575,29,10
62.99999952316284,29,11
69.82758641242981,29,12
72.44094610214233,29,13
72.72727489471436,29,14
61.20689511299133,29,15
63.90977501869202,29,16
